Metabolite ID,Metabolites Names
_79369_1_g,B3GNT4
_10678_1_g,B3GNT2
_11041_1_g,B3GNT1
_146712_1_g,B3GNTL1
_374907_1_g,B3GNT8
_93010_1_g,B3GNT7
_374907_2_g,B3GNT8
_10331_1_g,B3GNT3
_10678_2_g,B3GNT2
_79814_1_m,AGMAT
_64902_1_m,AGXT2
_64850_1_m,AGXT2L1
_3074_1_l,HEXB
_3073_1_l,HEXA
_3073_1_l_3074_1_l,HEXA:HEXB
_471_1_c,ATIC
_10606_1_c,PAICS
_8402_1_c,SLC25A11
_1645_1_c,AKR1C1
_6718_1_c,AKR1D1
_6510_1_c,SLC1A5
_6509_1_c,SLC1A4
_56301_1_c,SLC7A10
_6520_1_c,SLC3A2
_56301_1_c_6520_1_c,SLC7A10:SLC3A2
_11212_1_c,PROSC
_212_1_m,ALAS2
_23464_1_m,GCAT
_211_2_m,ALAS1
_211_1_m,ALAS1
_54407_1_c,SLC38A2
_6542_1_c,SLC7A2
_11254_1_c,SLC6A14
_6541_1_c,SLC7A1
_81539_1_c,SLC38A1
_55089_1_c,SLC38A4
_84889_1_c,SLC7A3
_92745_1_c,SLC38A5
_10991_1_c,SLC38A3
_284273_2_c,ZADH2
_284273_1_c,ZADH2
_10327_1_c,AKR1A1
_10327_2_c,AKR1A1
_501_1_c,ALDH7A1
_8854_2_c,ALDH1A2
_224_1_c,ALDH3A2
_8854_1_c,ALDH1A2
_216_1_c,ALDH1A1
_8854_3_c,ALDH1A2
_219_1_m,ALDH1B1
_217_1_m,ALDH2
_240_1_c,ALOX5
_8574_1_c,AKR7A2
_231_1_c,AKR1B1
_23600_1_x,AMACR
_23600_2_x,AMACR
_10020_1_c,GNE
_115286_3_c,SLC25A26
_115286_2_c,SLC25A26
_115286_1_c,SLC25A26
_271_2_c,AMPD2
_270_1_c,AMPD1
_271_1_c,AMPD2
_272_1_c,AMPD3
_271_3_c,AMPD2
_290_1_c,ANPEP
_290_1[e],ANPEP
_113451_1_m,ADC
_384_1_m,ARG2
_435_1_c,ASL
_445_1_c,ASS1
_445_2_c,ASS1
_83884_1_c,SLC25A2
_10166_1_c,SLC25A15
_410_1_l,ARSA
_9962_2_c,SLC23A2
_9963_1_c,SLC23A1
_9962_1_c,SLC23A2
_9963_2_c,SLC23A1
_80150_1_m,ASRGL1
_440_1_c,ASNS
_440_3_c,ASNS
_440_2_c,ASNS
_2805_1_c,GOT1
_954_1[e],ENTPD2
_954_2[e],ENTPD2
_953_1[e],ENTPD1
_956_1[e],ENTPD3
_955_1[e],ENTPD6
_957_1[e],ENTPD5
_513_1_c,ATP5D
_498_2_c,ATP5A1
_506_1_c,ATP5B
_509_2_c,ATP5C1
_514_1_c,ATP5E
_498_2_c_506_1_c_509_2_c_513_1_c_514_1_c,ATP5A1:ATP5B:ATP5C1:ATP5D:ATP5E
_513_2_c,ATP5D
_514_2_c,ATP5E
_498_2_c_506_1_c_509_2_c_513_2_c_514_2_c,ATP5A1:ATP5B:ATP5C1:ATP5D:ATP5E
_509_1_c,ATP5C1
_498_1_c,ATP5A1
_498_1_c_506_1_c_509_1_c_513_1_c_514_2_c,ATP5A1:ATP5B:ATP5C1:ATP5D:ATP5E
_498_2_c_506_1_c_509_2_c_513_2_c_514_1_c,ATP5A1:ATP5B:ATP5C1:ATP5D:ATP5E
_498_1_c_506_1_c_509_2_c_513_2_c_514_2_c,ATP5A1:ATP5B:ATP5C1:ATP5D:ATP5E
_498_1_c_506_1_c_509_2_c_513_1_c_514_1_c,ATP5A1:ATP5B:ATP5C1:ATP5D:ATP5E
_498_2_c_506_1_c_509_2_c_513_1_c_514_2_c,ATP5A1:ATP5B:ATP5C1:ATP5D:ATP5E
_498_2_c_506_1_c_509_1_c_513_1_c_514_1_c,ATP5A1:ATP5B:ATP5C1:ATP5D:ATP5E
_498_2_c_506_1_c_509_1_c_513_2_c_514_1_c,ATP5A1:ATP5B:ATP5C1:ATP5D:ATP5E
_498_1_c_506_1_c_509_2_c_513_2_c_514_1_c,ATP5A1:ATP5B:ATP5C1:ATP5D:ATP5E
_498_3_c,ATP5A1
_498_3_c_506_1_c_509_2_c_513_2_c_514_2_c,ATP5A1:ATP5B:ATP5C1:ATP5D:ATP5E
_498_3_c_506_1_c_509_2_c_513_2_c_514_1_c,ATP5A1:ATP5B:ATP5C1:ATP5D:ATP5E
_498_3_c_506_1_c_509_1_c_513_1_c_514_1_c,ATP5A1:ATP5B:ATP5C1:ATP5D:ATP5E
_498_3_c_506_1_c_509_1_c_513_2_c_514_2_c,ATP5A1:ATP5B:ATP5C1:ATP5D:ATP5E
_498_2_c_506_1_c_509_1_c_513_1_c_514_2_c,ATP5A1:ATP5B:ATP5C1:ATP5D:ATP5E
_498_1_c_506_1_c_509_2_c_513_1_c_514_2_c,ATP5A1:ATP5B:ATP5C1:ATP5D:ATP5E
_498_1_c_506_1_c_509_1_c_513_1_c_514_1_c,ATP5A1:ATP5B:ATP5C1:ATP5D:ATP5E
_498_3_c_506_1_c_509_2_c_513_1_c_514_1_c,ATP5A1:ATP5B:ATP5C1:ATP5D:ATP5E
